date,gold,oil
17-Jul-19,"1,435.90",56.78
16-Jul-19,"1,423.60",57.62
15-Jul-19,"1,426.10",59.58
12-Jul-19,"1,424.80",60.21
11-Jul-19,"1,419.30",60.2
10-Jul-19,"1,424.90",60.43
9-Jul-19,"1,412.80",57.83
8-Jul-19,"1,412.20",57.66
5-Jul-19,"1,412.10",57.51
4-Jul-19,"1,423.55",56.8
3-Jul-19,"1,432.90",57.34
2-Jul-19,"1,419.80",56.25
1-Jul-19,"1,400.80",59.09
28-Jun-19,"1,425.10",58.47
27-Jun-19,"1,423.40",59.43
26-Jun-19,"1,426.80",59.38
25-Jun-19,"1,430.10",57.83
24-Jun-19,"1,429.50",57.9
21-Jun-19,"1,411.20",57.43
20-Jun-19,"1,408.30",56.65
19-Jun-19,"1,360.10",53.76
18-Jun-19,"1,362.10",53.9
17-Jun-19,"1,354.20",51.93
14-Jun-19,"1,355.90",52.51
13-Jun-19,"1,355.10",52.28
12-Jun-19,"1,348.20",51.14
11-Jun-19,"1,342.70",53.27
10-Jun-19,"1,340.70",53.26
7-Jun-19,"1,357.40",53.99
6-Jun-19,"1,354.00",52.59
5-Jun-19,"1,344.90",51.68
4-Jun-19,"1,340.10",53.48
3-Jun-19,"1,339.30",53.25
31-May-19,"1,322.60",53.5
30-May-19,"1,304.10",56.59
29-May-19,"1,297.90",58.81
28-May-19,"1,294.30",59.14
27-May-19,"1,284.95",59.16
24-May-19,"1,301.00",58.63
23-May-19,"1,302.70",57.91
22-May-19,"1,291.40",61.42
21-May-19,"1,290.40",62.99
20-May-19,"1,294.60",63.1
17-May-19,"1,293.00",62.76
16-May-19,"1,303.50",62.87
15-May-19,"1,315.10",62.02
14-May-19,"1,313.60",61.78
13-May-19,"1,319.50",61.04
10-May-19,"1,305.30",61.66
9-May-19,"1,303.20",61.7
8-May-19,"1,299.50",62.12
7-May-19,"1,303.60",61.4
6-May-19,"1,301.80",62.25
3-May-19,"1,299.20",61.94
2-May-19,"1,289.90",61.81
1-May-19,"1,302.20",63.6
30-Apr-19,"1,303.60",63.91
29-Apr-19,"1,299.40",63.5
26-Apr-19,"1,306.80",63.3
25-Apr-19,"1,297.70",65.21
24-Apr-19,"1,297.40",65.89
23-Apr-19,"1,291.20",66.3
22-Apr-19,"1,295.80",65.7
19-Apr-19,"1,277.90",64
18-Apr-19,"1,294.10",64
17-Apr-19,"1,294.70",63.76
16-Apr-19,"1,295.20",64.05
15-Apr-19,"1,309.40",63.4
12-Apr-19,"1,313.40",63.89
11-Apr-19,"1,311.30",63.58
10-Apr-19,"1,331.90",64.61
9-Apr-19,"1,326.30",63.98
8-Apr-19,"1,319.90",64.4
5-Apr-19,"1,313.70",63.08
4-Apr-19,"1,312.20",62.1
3-Apr-19,"1,313.30",62.46
2-Apr-19,"1,313.40",62.58
1-Apr-19,"1,312.40",61.59
29-Mar-19,"1,316.50",60.14
28-Mar-19,"1,313.30",59.3
27-Mar-19,"1,334.70",59.41
26-Mar-19,"1,339.20",59.94
25-Mar-19,"1,346.70",58.82
22-Mar-19,"1,336.50",59.04
21-Mar-19,"1,331.60",59.98
20-Mar-19,"1,325.80",59.83
19-Mar-19,"1,330.90",59.03
18-Mar-19,"1,325.80",59.09
15-Mar-19,"1,327.10",58.52
14-Mar-19,"1,319.40",58.61
13-Mar-19,"1,333.80",58.26
12-Mar-19,"1,322.40",56.87
11-Mar-19,"1,315.70",56.79
8-Mar-19,"1,324.30",56.07
7-Mar-19,"1,310.70",56.66
6-Mar-19,"1,312.20",56.22
5-Mar-19,"1,309.10",56.56
4-Mar-19,"1,311.90",56.59
1-Mar-19,"1,323.80",55.8
28-Feb-19,"1,341.00",57.22
27-Feb-19,"1,346.00",56.94
26-Feb-19,"1,353.40",55.5
25-Feb-19,"1,354.20",55.48
22-Feb-19,"1,357.60",57.26
21-Feb-19,"1,352.40",56.96
20-Feb-19,"1,372.50",56.92
19-Feb-19,"1,369.60",56.09
18-Feb-19,"1,329.55",56.27
15-Feb-19,"1,346.80",55.59
14-Feb-19,"1,338.70",54.41
13-Feb-19,"1,340.10",53.9
12-Feb-19,"1,338.90",53.1
11-Feb-19,"1,337.00",52.41
8-Feb-19,"1,343.70",52.72
7-Feb-19,"1,339.40",52.64
6-Feb-19,"1,339.70",54.01
5-Feb-19,"1,344.60",53.66
4-Feb-19,"1,344.30",54.56
1-Feb-19,"1,347.10",55.26
31-Jan-19,"1,350.00",53.79
30-Jan-19,"1,340.50",54.23
29-Jan-19,"1,340.20",53.31
28-Jan-19,"1,334.50",51.99
25-Jan-19,"1,329.10",53.69
24-Jan-19,"1,310.80",53.13
23-Jan-19,"1,315.20",52.62
22-Jan-19,"1,314.20",52.57
21-Jan-19,"1,279.05",54.24
18-Jan-19,"1,313.80",53.8
17-Jan-19,"1,323.60",52.07
16-Jan-19,"1,325.10",52.31
15-Jan-19,"1,319.70",52.11
14-Jan-19,"1,323.30",50.51
11-Jan-19,"1,321.30",51.59
10-Jan-19,"1,319.20",52.59
9-Jan-19,"1,323.50",52.36
8-Jan-19,"1,317.40",49.78
7-Jan-19,"1,321.50",48.52
4-Jan-19,"1,317.40",47.96
3-Jan-19,"1,326.10",47.09
2-Jan-19,"1,315.30",46.54
1-Jan-19,"1,283.35",45.89
31-Dec-18,"1,312.50",45.41
28-Dec-18,"1,313.70",45.33
27-Dec-18,"1,311.90",44.61
26-Dec-18,"1,303.70",46.22
25-Dec-18,"1,270.75",43.16
24-Dec-18,"1,302.40",42.53
21-Dec-18,"1,288.60",45.59
20-Dec-18,"1,298.60",45.88
19-Dec-18,"1,286.80",47.2
18-Dec-18,"1,284.00",46.24
17-Dec-18,"1,282.60",49.88
14-Dec-18,"1,272.20",51.2
13-Dec-18,"1,278.40",52.58
12-Dec-18,"1,281.00",51.15
11-Dec-18,"1,278.10",51.65
10-Dec-18,"1,280.00",51
7-Dec-18,"1,283.60",52.61
6-Dec-18,"1,274.30",51.49
5-Dec-18,"1,273.40",52.89
4-Dec-18,"1,277.40",53.25
3-Dec-18,"1,270.20",52.95
30-Nov-18,"1,256.50",50.93
29-Nov-18,"1,260.80",51.45
28-Nov-18,"1,260.20",50.29
27-Nov-18,"1,250.40",51.56
26-Nov-18,"1,259.70",51.63
23-Nov-18,"1,260.00",50.42
22-Nov-18,"1,228.00",54.02
21-Nov-18,"1,264.70",54.63
20-Nov-18,"1,257.50",53.43
19-Nov-18,"1,261.60",56.76
16-Nov-18,"1,259.00",56.46
15-Nov-18,"1,251.70",56.46
14-Nov-18,"1,246.20",56.25
13-Nov-18,"1,237.50",55.69
12-Nov-18,"1,239.60",59.93
9-Nov-18,"1,245.00",60.19
8-Nov-18,"1,262.00",60.67
7-Nov-18,"1,265.40",61.67
6-Nov-18,"1,263.00",62.21
5-Nov-18,"1,269.00",63.1
2-Nov-18,"1,269.90",63.14
1-Nov-18,"1,274.80",63.69
31-Oct-18,"1,250.80",65.31
30-Oct-18,"1,261.50",66.18
29-Oct-18,"1,263.70",67.04
26-Oct-18,"1,272.30",67.59
25-Oct-18,"1,269.00",67.33
24-Oct-18,"1,267.60",66.82
23-Oct-18,"1,273.50",66.43
22-Oct-18,"1,261.30",69.17
19-Oct-18,"1,265.30",69.12
18-Oct-18,"1,266.60",68.65
17-Oct-18,"1,263.40",69.75
16-Oct-18,"1,267.30",71.92
15-Oct-18,"1,266.90",71.78
12-Oct-18,"1,258.10",71.34
11-Oct-18,"1,264.00",70.97
10-Oct-18,"1,229.40",73.17
9-Oct-18,"1,227.80",74.96
8-Oct-18,"1,224.90",74.29
5-Oct-18,"1,242.20",74.34
4-Oct-18,"1,237.50",74.33
3-Oct-18,"1,238.70",76.41
2-Oct-18,"1,242.70",75.23
1-Oct-18,"1,227.00",75.3
28-Sep-18,"1,231.30",73.25
27-Sep-18,"1,222.40",72.12
26-Sep-18,"1,234.40",71.57
25-Sep-18,"1,240.80",72.28
24-Sep-18,"1,240.00",72.08
21-Sep-18,"1,236.90",70.78
20-Sep-18,"1,247.00",70.8
19-Sep-18,"1,244.10",71.12
18-Sep-18,"1,238.30",69.85
17-Sep-18,"1,241.20",68.91
14-Sep-18,"1,236.60",68.99
13-Sep-18,"1,243.80",68.59
12-Sep-18,"1,246.60",70.37
11-Sep-18,"1,237.60",69.25
10-Sep-18,"1,235.00",67.54
7-Sep-18,"1,235.50",67.75
6-Sep-18,"1,239.10",67.77
5-Sep-18,"1,236.00",68.72
4-Sep-18,"1,233.60",69.87
3-Sep-18,"1,206.30",70.12
31-Aug-18,"1,241.10",69.8
30-Aug-18,"1,239.50",70.25
29-Aug-18,"1,246.50",69.51
28-Aug-18,"1,249.60",68.53
27-Aug-18,"1,251.20",68.87
24-Aug-18,"1,248.20",68.72
23-Aug-18,"1,228.40",67.83
22-Aug-18,"1,238.20",67.86
21-Aug-18,"1,234.90",67.35
20-Aug-18,"1,229.60",66.43
17-Aug-18,"1,219.30",65.91
16-Aug-18,"1,219.20",65.46
15-Aug-18,"1,220.20",65.01
14-Aug-18,"1,236.40",67.04
13-Aug-18,"1,234.60",67.2
10-Aug-18,"1,255.10",67.63
9-Aug-18,"1,256.30",66.81
8-Aug-18,"1,257.30",66.94
7-Aug-18,"1,254.70",69.17
6-Aug-18,"1,254.10",69.01
3-Aug-18,"1,259.70",68.49
2-Aug-18,"1,256.50",68.96
1-Aug-18,"1,264.30",67.66
31-Jul-18,"1,270.10",68.76
30-Jul-18,"1,268.00",70.13
27-Jul-18,"1,269.30",68.69
26-Jul-18,"1,271.80",69.61
25-Jul-18,"1,277.40",69.3
24-Jul-18,"1,271.50",68.52
23-Jul-18,"1,271.40",67.89
20-Jul-18,"1,277.50",70.46
19-Jul-18,"1,271.10",69.46
18-Jul-18,"1,275.70",68.76
17-Jul-18,"1,275.30",68.08
16-Jul-18,"1,288.20",68.06
13-Jul-18,"1,289.70",71.01
12-Jul-18,"1,295.40",70.33
11-Jul-18,"1,293.30",70.38
10-Jul-18,"1,305.10",74.11
9-Jul-18,"1,309.00",73.85
6-Jul-18,"1,304.80",73.8
5-Jul-18,"1,307.60",72.94
4-Jul-18,"1,258.10",74.13
3-Jul-18,"1,302.40",74.14
2-Jul-18,"1,289.90",73.94
29-Jun-18,"1,303.90",74.15
28-Jun-18,"1,300.20",73.45
27-Jun-18,"1,305.70",72.76
26-Jun-18,"1,309.60",70.53
25-Jun-18,"1,319.20",68.08
22-Jun-18,"1,321.30",68.58
21-Jun-18,"1,321.00",65.54
20-Jun-18,"1,325.30",66.22
19-Jun-18,"1,329.20",65.07
18-Jun-18,"1,331.10",65.85
15-Jun-18,"1,329.30",65.06
14-Jun-18,"1,360.60",66.89
13-Jun-18,"1,353.50",66.64
12-Jun-18,"1,351.80",66.36
11-Jun-18,"1,355.50",66.1
8-Jun-18,"1,354.40",65.74
7-Jun-18,"1,354.40",65.95
6-Jun-18,"1,353.50",64.73
5-Jun-18,"1,354.10",65.52
4-Jun-18,"1,349.40",64.75
1-Jun-18,"1,350.90",65.81
31-May-18,"1,355.90",67.04
30-May-18,"1,357.60",68.21
29-May-18,"1,354.60",66.73
28-May-18,"1,297.60",67.05
25-May-18,"1,361.40",67.88
24-May-18,"1,362.40",70.71
23-May-18,"1,347.40",71.84
22-May-18,"1,350.00",72.13
21-May-18,"1,349.00",72.24
18-May-18,"1,349.20",71.28
17-May-18,"1,347.90",71.49
16-May-18,"1,350.10",71.49
15-May-18,"1,348.50",71.31
14-May-18,"1,376.60",70.96
11-May-18,"1,379.10",70.7
10-May-18,"1,380.80",71.36
9-May-18,"1,371.70",71.14
8-May-18,"1,372.50",69.06
7-May-18,"1,372.90",70.73
4-May-18,"1,373.40",69.72
3-May-18,"1,371.10",68.43
2-May-18,"1,364.00",67.93
1-May-18,"1,365.10",67.25
30-Apr-18,"1,377.80",68.57
27-Apr-18,"1,382.30",68.1
26-Apr-18,"1,376.70",68.19
25-Apr-18,"1,381.60",68.05
24-Apr-18,"1,391.80",67.7
23-Apr-18,"1,382.70",68.64
20-Apr-18,"1,396.90",68.38
19-Apr-18,"1,407.50",68.29
18-Apr-18,"1,412.20",68.47
17-Apr-18,"1,408.00",66.52
16-Apr-18,"1,409.30",66.22
13-Apr-18,"1,406.60",67.39
12-Apr-18,"1,400.30",67.07
11-Apr-18,"1,418.90",66.82
10-Apr-18,"1,404.40",65.51
9-Apr-18,"1,398.50",63.42
6-Apr-18,"1,394.80",62.06
5-Apr-18,"1,387.00",63.54
4-Apr-18,"1,398.60",63.37
3-Apr-18,"1,395.40",63.51
2-Apr-18,"1,404.70",63.01
30-Mar-18,"1,384.90",64.94
29-Mar-18,"1,384.90",64.94
28-Mar-18,"1,387.80",64.38
27-Mar-18,"1,406.70",65.25
26-Mar-18,"1,419.90",65.55
23-Mar-18,"1,413.90",65.88
22-Mar-18,"1,391.10",64.3
21-Mar-18,"1,385.50",65.17
20-Mar-18,"1,375.10",63.4
19-Mar-18,"1,380.60",62.06
16-Mar-18,"1,375.20",62.34
15-Mar-18,"1,380.60",61.19
14-Mar-18,"1,388.60",60.96
13-Mar-18,"1,390.30",60.71
12-Mar-18,"1,383.70",61.36
9-Mar-18,"1,386.90",62.04
8-Mar-18,"1,384.00",60.12
7-Mar-18,"1,389.50",61.15
6-Mar-18,"1,397.50",62.6
5-Mar-18,"1,382.10",62.57
2-Mar-18,"1,385.80",61.25
1-Mar-18,"1,367.60",60.99
28-Feb-18,"1,380.80",61.64
27-Feb-18,"1,381.30",63.01
26-Feb-18,"1,394.80",63.91
23-Feb-18,"1,390.70",63.55
22-Feb-18,"1,393.10",62.77
21-Feb-18,"1,392.30",61.68
20-Feb-18,"1,390.10",61.9
19-Feb-18,"1,347.80",62.38
16-Feb-18,"1,415.00",61.68
15-Feb-18,"1,413.70",61.34
14-Feb-18,"1,415.10",60.6
13-Feb-18,"1,387.00",59.19
12-Feb-18,"1,383.10",59.29
9-Feb-18,"1,372.30",59.2
8-Feb-18,"1,376.40",61.15
7-Feb-18,"1,372.30",61.79
6-Feb-18,"1,387.00",63.39
5-Feb-18,"1,394.50",64.15
2-Feb-18,"1,396.20",65.45
1-Feb-18,"1,406.70",65.8
31-Jan-18,"1,401.70",64.73
30-Jan-18,"1,398.50",64.5
29-Jan-18,"1,403.60",65.56
26-Jan-18,"1,416.00",66.14
25-Jan-18,"1,425.90",65.51
24-Jan-18,"1,419.10",65.61
23-Jan-18,"1,398.20",64.47
22-Jan-18,"1,394.00",63.49
19-Jan-18,"1,394.30",63.37
18-Jan-18,"1,387.40",63.95
17-Jan-18,"1,399.70",63.97
16-Jan-18,"1,396.80",63.73
15-Jan-18,"1,341.80",64.73
12-Jan-18,"1,394.40",64.3
11-Jan-18,"1,380.10",63.8
10-Jan-18,"1,377.00",63.57
9-Jan-18,"1,370.00",62.96
8-Jan-18,"1,376.80",61.73
5-Jan-18,"1,378.40",61.44
4-Jan-18,"1,377.40",62.01
3-Jan-18,"1,374.20",61.63
2-Jan-18,"1,370.50",60.37
1-Jan-18,"1,308.70",60.24
29-Dec-17,"1,362.60",60.42
28-Dec-17,"1,350.10",59.84
27-Dec-17,"1,343.00",59.64
26-Dec-17,"1,339.20",59.97
25-Dec-17,"1,277.90",58.59
22-Dec-17,"1,330.50",58.47
21-Dec-17,"1,322.00",58.36
20-Dec-17,"1,321.10",58.09
19-Dec-17,"1,315.50",57.46
18-Dec-17,"1,316.30",57.16
15-Dec-17,"1,308.10",57.3
14-Dec-17,"1,307.90",57.04
13-Dec-17,"1,299.40",56.6
12-Dec-17,"1,292.60",57.14
11-Dec-17,"1,297.50",57.99
8-Dec-17,"1,298.80",57.36
7-Dec-17,"1,303.70",56.69
6-Dec-17,"1,316.90",55.96
5-Dec-17,"1,315.80",57.62
4-Dec-17,"1,328.70",57.47
1-Dec-17,"1,333.50",58.36
30-Nov-17,"1,328.00",57.4
29-Nov-17,"1,337.10",57.3
28-Nov-17,"1,349.70",57.99
27-Nov-17,"1,349.40",58.11
24-Nov-17,"1,342.30",58.95
23-Nov-17,"1,291.66",58.38
22-Nov-17,"1,347.10",58.02
21-Nov-17,"1,336.50",56.83
20-Nov-17,"1,329.40",56.09
17-Nov-17,"1,350.10",56.55
16-Nov-17,"1,331.50",55.14
15-Nov-17,"1,330.80",55.33
14-Nov-17,"1,336.30",55.7
13-Nov-17,"1,332.50",56.76
10-Nov-17,"1,327.10",56.74
9-Nov-17,"1,339.40",57.17
8-Nov-17,"1,334.90",56.81
7-Nov-17,"1,326.50",57.2
6-Nov-17,"1,332.40",57.35
3-Nov-17,"1,319.80",55.64
2-Nov-17,"1,328.30",54.54
1-Nov-17,"1,327.50",54.3
31-Oct-17,"1,320.60",54.38
30-Oct-17,"1,327.80",54.15
27-Oct-17,"1,322.00",53.9
26-Oct-17,"1,320.30",52.64
25-Oct-17,"1,329.70",52.18
24-Oct-17,"1,328.40",52.47
23-Oct-17,"1,331.10",51.9
20-Oct-17,"1,330.40",51.47
19-Oct-17,"1,340.10",51.29
18-Oct-17,"1,333.50",52.04
17-Oct-17,"1,336.70",51.88
16-Oct-17,"1,353.90",51.87
13-Oct-17,"1,354.70",51.45
12-Oct-17,"1,346.60",50.6
11-Oct-17,"1,338.80",51.3
10-Oct-17,"1,343.70",50.92
9-Oct-17,"1,334.70",49.58
6-Oct-17,"1,324.30",49.29
5-Oct-17,"1,322.60",50.79
4-Oct-17,"1,325.60",49.98
3-Oct-17,"1,323.40",50.42
2-Oct-17,"1,324.70",50.58
29-Sep-17,"1,333.20",51.67
28-Sep-17,"1,336.90",51.56
27-Sep-17,"1,336.30",52.14
26-Sep-17,"1,349.70",51.88
25-Sep-17,"1,359.20",52.22
22-Sep-17,"1,345.10",50.66
21-Sep-17,"1,342.40",50.55
20-Sep-17,"1,364.00",50.41
19-Sep-17,"1,358.30",49.48
18-Sep-17,"1,357.40",49.91
15-Sep-17,"1,372.20",49.89
14-Sep-17,"1,376.30",49.89
13-Sep-17,"1,373.80",49.3
12-Sep-17,"1,378.90",48.23
11-Sep-17,"1,381.20",48.07
8-Sep-17,"1,396.40",47.48
7-Sep-17,"1,395.10",49.09
6-Sep-17,"1,383.00",49.16
5-Sep-17,"1,388.30",48.66
4-Sep-17,"1,338.08",47.41
1-Sep-17,"1,374.20",47.29
31-Aug-17,"1,365.60",47.23
30-Aug-17,"1,358.00",45.96
29-Aug-17,"1,362.80",46.44
28-Aug-17,"1,359.70",46.57
25-Aug-17,"1,341.90",47.87
24-Aug-17,"1,336.00",47.43
23-Aug-17,"1,338.80",48.41
22-Aug-17,"1,335.50",47.64
21-Aug-17,"1,341.00",47.37
18-Aug-17,"1,335.70",48.51
17-Aug-17,"1,336.80",47.09
16-Aug-17,"1,327.50",46.78
15-Aug-17,"1,324.20",47.55
14-Aug-17,"1,334.80",47.59
11-Aug-17,"1,338.10",48.82
10-Aug-17,"1,334.50",48.59
9-Aug-17,"1,323.70",49.56
8-Aug-17,"1,307.10",49.17
7-Aug-17,"1,308.70",49.39
4-Aug-17,"1,308.40",49.58
3-Aug-17,"1,318.30",49.03
2-Aug-17,"1,322.20",49.59
1-Aug-17,"1,323.00",49.16
31-Jul-17,"1,317.20",50.17
28-Jul-17,"1,319.10",49.71
27-Jul-17,"1,310.20",49.04
26-Jul-17,"1,298.90",48.75
25-Jul-17,"1,300.90",47.89
24-Jul-17,"1,303.10",46.34
21-Jul-17,"1,303.60",45.77
20-Jul-17,"1,294.80",46.79
19-Jul-17,"1,291.40",47.12
18-Jul-17,"1,291.20",46.4
17-Jul-17,"1,283.10",46.02
14-Jul-17,"1,276.50",46.54
13-Jul-17,"1,266.20",46.08
12-Jul-17,"1,268.90",45.49
11-Jul-17,"1,265.40",45.04
10-Jul-17,"1,263.70",44.4
7-Jul-17,"1,260.10",44.23
6-Jul-17,"1,274.40",45.52
5-Jul-17,"1,271.60",45.13
4-Jul-17,"1,227.55",47.13
3-Jul-17,"1,268.60",47.07
30-Jun-17,"1,291.70",46.04
29-Jun-17,"1,295.40",44.93
28-Jun-17,"1,298.50",44.74
27-Jun-17,"1,296.10",44.24
26-Jun-17,"1,295.40",43.38
23-Jun-17,"1,305.40",43.01
22-Jun-17,"1,298.10",42.74
21-Jun-17,"1,294.60",42.53
20-Jun-17,"1,292.50",43.23
19-Jun-17,"1,296.10",44.2
16-Jun-17,"1,305.80",44.74
15-Jun-17,"1,303.90",44.46
14-Jun-17,"1,325.30",44.73
13-Jun-17,"1,318.30",46.46
12-Jun-17,"1,318.60",46.08
9-Jun-17,"1,321.00",45.83
8-Jun-17,"1,329.00",45.64
7-Jun-17,"1,342.70",45.72
6-Jun-17,"1,347.10",48.19
5-Jun-17,"1,332.70",47.4
2-Jun-17,"1,330.20",47.66
1-Jun-17,"1,320.30",48.36
31-May-17,"1,325.60",48.32
30-May-17,"1,316.20",49.66
29-May-17,"1,266.69",49.97
26-May-17,"1,321.90",49.8
25-May-17,"1,310.40",48.9
24-May-17,"1,306.80",51.36
23-May-17,"1,309.20",51.47
22-May-17,"1,315.10",50.73
19-May-17,"1,307.00",50.33
18-May-17,"1,306.30",49.35
17-May-17,"1,313.30",49.07
16-May-17,"1,291.50",48.66
15-May-17,"1,285.10",48.85
12-May-17,"1,282.80",47.84
11-May-17,"1,280.00",47.83
10-May-17,"1,274.70",47.33
9-May-17,"1,272.20",45.88
8-May-17,"1,283.20",46.43
5-May-17,"1,282.90",46.22
4-May-17,"1,284.50",45.52
3-May-17,"1,304.70",47.82
2-May-17,"1,313.20",47.66
1-May-17,"1,311.70",48.84
28-Apr-17,"1,324.20",49.33
27-Apr-17,"1,321.80",48.97
26-Apr-17,"1,320.10",49.62
25-Apr-17,"1,323.10",49.56
24-Apr-17,"1,332.90",49.23
21-Apr-17,"1,344.10",49.62
20-Apr-17,"1,338.80",50.27
19-Apr-17,"1,337.60",50.44
18-Apr-17,"1,348.00",52.41
17-Apr-17,"1,346.90",52.65
14-Apr-17,"1,289.65",53.18
13-Apr-17,"1,343.80",53.18
12-Apr-17,"1,334.40",53.11
11-Apr-17,"1,330.50",53.4
10-Apr-17,"1,310.40",53.08
7-Apr-17,"1,313.90",52.24
6-Apr-17,"1,309.50",51.7
5-Apr-17,"1,304.60",51.15
4-Apr-17,"1,314.50",51.03
3-Apr-17,"1,310.40",50.24
31-Mar-17,"1,307.50",50.6
30-Mar-17,"1,304.40",50.35
29-Mar-17,"1,313.20",49.51
28-Mar-17,"1,315.20",48.37
27-Mar-17,"1,315.10",47.73
24-Mar-17,"1,308.10",47.97
23-Mar-17,"1,306.20",47.7
22-Mar-17,"1,309.20",48.04
21-Mar-17,"1,306.70",47.34
20-Mar-17,"1,294.90",48.22
17-Mar-17,"1,291.30",48.78
16-Mar-17,"1,288.40",48.75
15-Mar-17,"1,262.00",48.86
14-Mar-17,"1,264.00",47.72
13-Mar-17,"1,264.30",48.4
10-Mar-17,"1,261.70",48.49
9-Mar-17,"1,263.40",49.28
8-Mar-17,"1,269.60",50.28
7-Mar-17,"1,275.40",53.14
6-Mar-17,"1,285.00",53.2
3-Mar-17,"1,286.50",53.33
2-Mar-17,"1,291.60",52.61
1-Mar-17,"1,308.80",53.83
28-Feb-17,"1,312.00",54.01
27-Feb-17,"1,316.80",54.05
